Protein	Description_From_FASTA	T11	T12	T13	T14	T21	T22	T23	T24	T31	T32	T33	T34	T41	T42	T43	T44	T51	T52	T53	T54
sp|Q2SXU7|FABH_BURTA	3-oxoacyl-[acyl-carrier-protein] synthase 3 OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=fabH PE=3 SV=1	0.992899694	0.895005922	1.019135726	0.771349172	0.998887867	1.670357381	1.650273338	0.96364789	0.995636095	1.315732721	0.902238735	1.084989182	0.903275377	0.786671698	0.81322823	0.950879195	0.574108272	0.794290268	0.877547961	0.757798557
sp|Q2SYH7|WBIB_BURTA	dTDP-L-rhamnose 4-epimerase OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=wbiB PE=1 SV=1	2.206743326	2.601937551	1.525516305	1.326778182	0.794949042	1.691598997	1.45938371	1.02353164	2.284067287	0.097298935	1.121648656	0.155820993	0	0.718223228	1.324624261	0.026969261	0.813332234	0.023939366	0	1.0171673
tr|A0A096YH13|A0A096YH13_BURTA	50S ribosomal protein L13 OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=rplM PE=3 SV=1	2.730816305	1.822165352	2.536206573	1.920352853	1.08375321	1.16808295	1.030592702	1.155616611	0.675310648	0.724542218	0.733453506	0.635007113	0.475748662	0.444689116	0.385138484	0.481205161	0.306966358	0.406395467	0.401181476	0.402440764
tr|A0A096YH16|A0A096YH16_BURTA	"D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain protein OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=DR63_635 PE=3 SV=1"	0.641700779	0.830074596	0.66571692	0.859936537	0.720665157	0.707330568	0.236168141	0.928203113	0.953826637	0.894282929	1.619883157	0.657461585	0.757584338	0.804950975	0.950355439	0.593983384	0.686447026	0.785400331	0.780626616	0.918257561
tr|A0A096YH24|A0A096YH24_BURTA	Uracil phosphoribosyltransferase OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=upp PE=3 SV=1	0.6980501	1.024244184	0.747023998	1.415199482	1.021182141	0.944835383	0.842533648	0.91845474	0.91846498	0.729020792	1.015575137	0.91182928	0.612211703	0.785836281	0.822284707	0.646202785	0.828123831	0.629576114	0.654568798	0.840591485
tr|A0A096YH26|A0A096YH26_BURTA	Uncharacterized protein OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=DR63_2668 PE=4 SV=1	1.01209616	1.446781162	1.032827637	1.014908467	1.19179295	1.184663386	1.269877319	1.283129885	1.384303712	1.238069462	1.040335163	1.029591854	1.213330889	1.247497733	1.066140224	1.074988091	1.09720187	1.215445115	1.147846855	1.362781933
tr|A0A096YH27|A0A096YH27_BURTA	Integration host factor subunit beta OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=ihfB PE=3 SV=1	2.13094396	2.293294359	2.846098384	1.74331543	1.35608554	1.700314256	1.565344329	1.324904049	0.651587117	0.402135422	0.366519172	0.405428543	0.801733167	0.808934496	0.585268948	0.968490376	0.755893131	0.8534388	1.012389063	0.932593792
tr|A0A096YH33|A0A096YH33_BURTA	GTPase Era OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=era PE=3 SV=1	1.459632724	1.707838118	1.632014516	1.546537076	1.825727777	1.461445529	1.351687996	1.57300907	0.84449275	0.69027425	0.605079926	0.489725533	0.856883594	0.996841752	0.893637953	0.798302893	0.816309542	0.587031998	0.689796028	0.767817601
tr|A0A096YH40|A0A096YH40_BURTA	Ecotin family protein OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=DR63_2684 PE=4 SV=1	1.163062686	0.694911015	1.344627988	0.634797457	0.554862425	1.369542615	1.507168587	0.620148392	1.036302725	2.185160483	0.942154416	1.7383511	2.687506371	1.567053772	1.40250142	2.372672234	1.559460574	2.56153207	3.251003058	1.836113835
tr|A0A096YH43|A0A096YH43_BURTA	Poly-beta-hydroxybutyrate polymerase OS=Burkholderia thailandensis (strain ATCC 700388 / DSM 13276 / CIP 106301 / E264) OX=271848 GN=phbC PE=4 SV=1	0.647598735	0.530321708	0.734215382	0.589591261	0.796363452	1.159877989	1.310626076	0.796882164	1.060829857	1.773750415	0.913995816	1.434599181	2.020469048	1.354033013	1.352518543	1.913434593	1.172084851	1.783932282	1.771458261	1.423277252
